placekey,location_name,latitude,longitude,street_address,city,region,zip,brands,safegraph_brand_ids,naics_code,wkt_area_sq_meters,date_range_start,poi_cbg,tract
222-223@5pr-3c7-z9f,Heart Of America Christian Fellowship Inc,38.986673,-94.483483,7600 Blue Ridge Blvd,Kansas City,MO,64138,,,813110,3434,2020-01-01,290950172004,29095017200
zzw-222@5pk-8zx-xqz,Good Shepherd Lutheran Church,39.753612,-89.542394,1 Camelot Dr,Rochester,IL,62563,,,813110,414,2020-01-01,171670039021,17167003902
223-222@63s-wh9-zs5,Hagerstown Foursquare Church,39.700552,-77.721721,14113 Pennsylvania Ave,Fountainhead-Orchard Hills,MD,21742,,,813110,456,2020-01-01,240430103002,24043010300
229-224@627-s96-35z,Cong Khal Zichron Shmiel Zvi Dkrula,40.70016,-73.955161,127 Wallabout St,Brooklyn,NY,11206,,,813110,254,2020-01-01,360470531002,36047053100
zzw-222@63r-6wq-nt9,Bethany Community Church Of Laurel Md,39.113993,-76.905517,15720 Riding Stable Rd,Burtonsville,MD,20707,,,813110,1310,2020-01-01,240317014103,24031701410
zzy-223@5x3-sx4-bp9,Timberlake Church Snoqualmie,47.525689,-121.819971,39051 SE Park St,Snoqualmie,WA,98065,,,813110,690,2020-01-01,530330327032,53033032703
222-225@63v-bc5-xqz,UH Parma Medical Center Laboratory Services,41.381662,-81.73138,7007 Powers Blvd,Parma,OH,44129,,,621111,10703,2020-01-01,390351776083,39035177608
225-224@8gd-kng-68v,Goetze Lynn MD,32.293064,-80.940296,40 Okatie Center Blvd S Ste 100,Bluffton,SC,29909,,,621111,2065,2020-01-01,450130021042,45013002104
226-224@8gj-52v-jd9,Hunt Brothers Pizza,30.832761,-83.976353,408 S Broad St,Thomasville,GA,31792,Hunt Brothers Pizza,SG_BRAND_d1f227ed013c6a60,722513,820,2020-01-01,132759609001,13275960900
224-222@63s-cfw-3dv,Sonic,40.216684,-75.503424,33 W Ridge Pike Ste 701,Royersford,PA,19468,Sonic,SG_BRAND_bb5459bf19132d4dc1340654c17331df,722513,244,2020-01-01,420912086043,42091208604
226-222@627-sd5-nkf,St Bartholomew's Episcopal Church,41.019573,-73.773177,82 Prospect St,White Plains,NY,10606,,,813110,1503,2020-01-01,361190092005,36119009200
222-224@8gp-2dj-f9f,Shiloh Orange Park,30.137246,-81.773189,939 Blanding Blvd,Lakeside,FL,32065,,,813110,1911,2020-01-01,120190308021,12019030802
222-222@5z6-3r6-59f,La Parroquia de la Presentacion de Maria,33.981468,-118.24965,6406 Parmelee Ave,Los Angeles,CA,90001,,,813110,570,2020-01-01,060375329001,06037532900
224-222@8gb-rz7-nh5,Iglesia Cielos Abiertos Inc,34.273294,-83.836762,1216 Aviation Blvd Ste 107,Gainesville,GA,30501,,,813110,2618,2020-01-01,131390013013,13139001301
zzw-222@5sc-dc3-3h5,Immanuel Evangelical Lutheran Congregation Of Lebanon,43.21339,-88.629792,N554 County Road R,Watertown,WI,53098,,,813110,1171,2020-01-01,550279616003,55027961600
zzw-222@5vg-558-x5z,Pizza Hut,38.41724,-122.708783,1980 Santa Rosa Ave,Santa Rosa,CA,95407,Pizza Hut,SG_BRAND_1f2a4b730dc533366115ba7f5168b074,722513,17139,2020-01-01,060971514021,06097151402
zzy-224@8fc-g3q-hqz,Domino's Pizza,29.300883,-94.789953,2108 Broadway St,Galveston,TX,77550,Domino's Pizza,SG_BRAND_da46ad6f82825669a56b44d32564dff8,722513,169,2020-01-01,481677245001,48167724500
222-222@5z8-nzx-8qf,McDonald's,35.29532,-119.020628,1607 Panama Ln,Bakersfield,CA,93307,McDonald's,SG_BRAND_5179b21fc1d50950b99b4eecaa48c614,722513,405,2020-01-01,060290032021,06029003202
zzy-222@5qn-zqh-2ff,The Church of Jesus Christ of Latter day Saints,41.58672,-109.257048,3306 White Mountain Blvd,Rock Springs,WY,82901,,,813110,1826,2020-01-01,560379709023,56037970902
zzw-222@5x4-87n-9zz,Chua Giac Vien,47.271541,-122.331087,36815 Pacific Hwy S,Federal Way,WA,98003,,,813110,189,2020-01-01,530330303042,53033030304
zzy-222@8f6-824-qzz,Lee Memorial SDA Church,33.674078,-88.667465,Highway 45 Alt,West Point,MS,39773,,,813110,1236,2020-01-01,280259501004,28025950100
22g-222@8f4-fdt-4d9,Star Zion AME Zion Church,31.501631,-87.896089,714 Depot Rd,Jackson,AL,36545,,,813110,1236,2020-01-01,010259579024,01025957902
222-243@63v-c9b-j7q,Kimberly Wallis MS CGC,41.078443,-81.524126,215 W Bowery St,Akron,OH,44308,,,621111,5686,2020-01-01,391535083011,39153508301
222-222@5r4-2t8-fpv,Burger King,33.520156,-101.901729,4202 82nd St,Lubbock,TX,79423,Burger King,SG_BRAND_60d8d6d29e2c4b14f4ea1983baefd36e,722513,354,2020-01-01,483030019041,48303001904
222-222@5r4-37t-j5f,Taco Bell,33.591987,-101.855673,402 Avenue Q,Lubbock,TX,79401,Taco Bell,SG_BRAND_748ba381dd81bb8de615319837ffa350,722513,202,2020-01-01,483030006051,48303000605
zzw-222@8gg-d6w-435,Peninsula Baptist Church,35.580496,-80.878734,687 Brawley School Rd,Mooresville,NC,28117,,,813110,3581,2020-01-01,370970614051,37097061405
zzy-223@5qv-x7t-nyv,Spirit Life Church International,32.850733,-97.185403,1860 Precinct Line Rd,Hurst,TX,76054,,,813110,1182,2020-01-01,484391136132,48439113613
zzw-222@63s-697-59f,Mount Ararat Baptist Church,38.477333,-77.468216,1112 Garrisonville Rd,Stafford,VA,22556,,,813110,4847,2020-01-01,511790102063,51179010206
zzw-222@63r-6t4-w8v,Infinity Church,39.046715,-76.850235,11301 Springfield Rd,South Laurel,MD,20708,,,813110,2333,2020-01-01,240338002083,24033800208
222-222@8gj-6r9-wx5,McDonald's,30.896482,-83.330977,4185 N Valdosta Rd,Valdosta,GA,31602,McDonald's,SG_BRAND_5179b21fc1d50950b99b4eecaa48c614,722513,401,2020-01-01,131850102026,13185010202
22v-222@5vg-82s-4jv,Live Church Of Jesus Christ Inc,37.708329,-122.461667,185 Flournoy St,Daly City,CA,94112,,,813110,2418,2020-01-01,060750262005,06075026200
zzw-222@63s-fk6-rc5,Harvestnet International,40.217592,-76.248757,66 Clay School Rd,Clay,PA,17522,,,813110,1236,2020-01-01,420710102021,42071010202
zzw-226@5vh-9n9-syv,The Foundry,37.552368,-122.006525,4360 Central Ave,Fremont,CA,94536,,,813110,1258,2020-01-01,060014426021,06001442602
22k-223@627-s6b-3t9,Alive Chapel International Inc,40.830514,-73.900717,638 E 169th St Fl 2,Bronx,NY,10456,,,813110,698,2020-01-01,360050151003,36005015100
zzy-222@8gb-n72-9fz,Mullins Ford Baptist Church,34.483531,-83.268756,Ridgeland Rd,Eastanollee,GA,30538,,,813110,1236,2020-01-01,132579704002,13257970400
zzw-223@63s-yq3-g8v,Apostolic Ministries,39.782803,-76.964773,955 Baltimore St,Parkville,PA,17331,,,813110,1073,2020-01-01,421330219004,42133021900
225-22h@8g8-4h4-nt9,Linda Carter Sims PMHNP,32.612135,-83.653512,404 Corder Rd,Warner Robins,GA,31088,,,621111,573,2020-01-01,131530210002,13153021000
222-233@627-sc5-3yv,Dasgupta Ranjan MD,40.974096,-73.69739,1 Theall Rd,Rye,NY,10580,,,621111,3355,2020-01-01,361190075001,36119007500
222-223@5yv-j8h-3dv,Pick Up Stix,36.098708,-115.1757,3850 Las Vegas Blvd S,Las Vegas,NV,89109,Pick Up Stix,SG_BRAND_98d9f0509b17a17d9fc5583a9b2f9b9f,722513,871,2020-01-01,320030068004,32003006800
zzy-222@5q6-79k-vmk,Capstone Tabernacle Church Inc,39.829258,-104.977124,7300 Washington St,Denver,CO,80229,,,813110,340,2020-01-01,080010150002,08001015000
zzy-223@62m-hx7-4gk,Episcopal Christ Church,44.055718,-71.129363,16 Pine St,North Conway,NH,3860,,,813110,334,2020-01-01,330039553003,33003955300
zzw-222@63j-99j-tgk,Quinn Chapel AME Church,39.273361,-84.493986,10998 Southland Rd,Forest Park,OH,45240,,,813110,2473,2020-01-01,390610215042,39061021504
zzw-222@5r7-3yf-pd9,Massard Baptist Church,35.308309,-94.346105,7901 Massard Rd,Fort Smith,AR,72916,,,813110,1136,2020-01-01,051310013023,05131001302
222-222@8gb-62v-47q,Trion United Methodist Church,34.541712,-85.316964,810 Pine St,Trion,GA,30753,,,813110,1236,2020-01-01,130550102002,13055010200
zzy-222@8gn-g9p-k75,St Ellis Church,32.439179,-85.317229,5267 Us Highway 80 W,Seale,AL,36875,,,813110,687,2020-01-01,011130310002,01113031000
22b-223@627-s4q-jgk,Iglesia Cristiana Palabra De Vida Etema Inc,40.801645,-74.007001,7827 Bergenline Ave,North Bergen,NJ,7047,,,813110,239,2020-01-01,340170143002,34017014300
